YMR060C;TOM37;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YMR091C;NPL6;DAB unresponsive;JORGENSEN ORIGINAL LIST
YMR097C;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YMR116C;ASC1;n/a;JORGENSEN ORIGINAL LIST
YMR121C;RPL15B;NAM responsive;JORGENSEN ORIGINAL LIST
YMR158W;n/a;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YMR198W;CIK1;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YMR216C;SKY1;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YMR242C;RPL18A;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YMR256C;COX7;NAM responsive;JORGENSEN ORIGINAL LIST
YMR257C;PET111;NAM responsive;JORGENSEN ORIGINAL LIST
YMR269W;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YMR275C;BUL1;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YMR282C;ATP13;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YMR284W;HDF1;DAB responsive;JORGENSEN ORIGINAL LIST
YNL005C;MRP7;NAM responsive;JORGENSEN ORIGINAL LIST
YNL055C;POR1;NAM responsive;JORGENSEN ORIGINAL LIST
YNL059C;ARP5;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YNL061W;NOP2;n/a;JORGENSEN ORIGINAL LIST
YNL064C;YDJ1;n/a;JORGENSEN ORIGINAL LIST
YNL073W;MSK1;NAM responsive;JORGENSEN ORIGINAL LIST
YNL126W;SPC98;n/a;JORGENSEN ORIGINAL LIST
YNL138W;SRV2;n/a;JORGENSEN ORIGINAL LIST
YNL139C;RLR1;n/a;JORGENSEN ORIGINAL LIST
YNL148C;ALF1;DAB responsive;JORGENSEN ORIGINAL LIST
YNL171C;n/a;n/a;JORGENSEN ORIGINAL LIST
YNL197C;WHI3;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YNL213C;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YNL226W;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YNL227C;n/a;NAM unresponsive;JORGENSEN ORIGINAL LIST
YNL228W;DBP3;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YNL229C;URE2;n/a;JORGENSEN ORIGINAL LIST
YNL238W;KEX2;n/a;JORGENSEN ORIGINAL LIST
YNL243W;SLA2;n/a;JORGENSEN ORIGINAL LIST
YNL248C;RPA49;NAM unresponsive;JORGENSEN ORIGINAL LIST
YNL250W;RAD50;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YNL252C;MRPL17;NAM responsive;JORGENSEN ORIGINAL LIST
YNL255C;GIS2;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YNL284C;MRPL10;NAM responsive;JORGENSEN ORIGINAL LIST
YNL298W;CLA4;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YNL302C;RPS19B;NAM unresponsive;JORGENSEN ORIGINAL LIST
YNL315C;ATP11;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YNL324W;n/a;DAB unresponsive;JORGENSEN ORIGINAL LIST
YNL325C;FIG4;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YNR023W;SNF12;NAM responsive;JORGENSEN ORIGINAL LIST
YNR052C;POP2;n/a;JORGENSEN ORIGINAL LIST
YOL004W;SIN3;DAB unresponsive;JORGENSEN ORIGINAL LIST
YOL009C;MDM12;NAM responsive;JORGENSEN ORIGINAL LIST
YOL023W;IFM1;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YOL033W;MSE1;NAM responsive;JORGENSEN ORIGINAL LIST
YOL040C;RPS15;n/a;JORGENSEN ORIGINAL LIST
YOL051W;GAL11;DAB unresponsive;JORGENSEN ORIGINAL LIST
YOL076W;n/a;DAB responsive;JORGENSEN ORIGINAL LIST
YOL081W;IRA2;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YOL086C;ADH1;DAB unresponsive;JORGENSEN ORIGINAL LIST
YOL115W;TRF4;DAB responsive;JORGENSEN ORIGINAL LIST
YOL120C;RPL18A;n/a;JORGENSEN ORIGINAL LIST
YOL144W;NOP8;n/a;JORGENSEN ORIGINAL LIST
YOR014W;RTS1;DAB unresponsive;JORGENSEN ORIGINAL LIST
YOR026W;BUB3;n/a;JORGENSEN ORIGINAL LIST
YOR033C;DHS1;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YOR035C;SHE4;DAB unresponsive;JORGENSEN ORIGINAL LIST
YOR065W;CYT1;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
