Regular name;ORF id;Polidity;Size;Function
;YLR386W;haploid;larger;Unknown function
;YIL054W;haploid;larger;Unknown function
;YLR320W;haploid;larger;Unknown function
BUD31;YCR063W;haploid;larger;Unknown function
;YPR045C;haploid;larger;Unknown function
;YHR009C;haploid;larger;Unknown function
;YPL055C;haploid;larger;Unknown function
;YIL011W;haploid;larger;Unknown function
;YIL040W;haploid;larger;Unknown function
;YCR025C;haploid;larger;Unknown function
SHD7;YPL180W;haploid;larger;Unknown function
;YKL053W;haploid;larger;Unknown function
;YDL032W;haploid;larger;Unknown function
KIM2;YLL002W;haploid;larger;Unknown function
;YCR087C;haploid;larger;Unknown function
;YCR026C;haploid;larger;Unknown function
;YOR073W;haploid;larger;Unknown function
;YCR061W;haploid;larger;Unknown function
;YCR087W;haploid;larger;Unknown function
;YCR045C;haploid;larger;Unknown function
SLX8;YER116C;haploid;larger;Unknown function
;YCR050C;haploid;larger;Unknown function
;YLR422W;haploid;larger;Unknown function
GIS2;YNL255C;haploid;larger;Unknown function
GIS2;YNL255C;haploid;larger;Unknown function
;YNL324W;haploid;larger;Unknown function
KRE21;YLR338W;haploid;larger;Unknown function
;YKL023W;haploid;larger;Unknown function
;YPR044C;haploid;larger;Unknown function
;YGL214W;haploid;larger;Unknown function
HIT1;YJR055W;haploid;larger;Unknown function
;YBR277C;haploid;larger;Unknown function
;YBL051C;haploid;larger;Unknown function
SCP160;YJL080C;haploid;larger;0% 1N DNA content
CLC1;YGR167W;haploid;larger;0% 1N DNA content
;YJR018W;haploid;larger;0% 1N DNA content
CTK2;YJL006C;haploid;larger;0% 1N DNA content
;YMR014W;haploid;larger;0% 1N DNA content
PAF1;YBR279W;haploid;larger;0% 1N DNA content
TIF3;YPR163C;haploid;larger;0% 1N DNA content
;YCL005W;haploid;larger;0% 1N DNA content
SLA2;YNL243W;haploid;larger;0% 1N DNA content
AAC3;YBR085W;haploid;larger;0% 1N DNA content
VPS53;YJL029C;haploid;larger;0% 1N DNA content
HOP2;YGL033W;haploid;larger;0% 1N DNA content
;YBL006C;haploid;larger;0% 1N DNA content
SRV2;YNL138W;haploid;larger;0% 1N DNA content
HNT3;YOR258W;haploid;larger;0% 1N DNA content
CDC10;YCR002C;haploid;larger;0% 1N DNA content
BDF1;YLR399C;haploid;larger;0% 1N DNA content
KGD1;YIL125W;haploid;larger;0% 1N DNA content
;YPR087W;haploid;larger;0% 1N DNA content
;YLR322W;haploid;larger;0% 1N DNA content
RLR1;YNL139C;haploid;larger;0% 1N DNA content
NPL6;YMR091C;haploid;larger;0% 1N DNA content
PRO1;YDR300C;haploid;larger;0% 1N DNA content
KRE6;YPR159W;haploid;larger;0% 1N DNA content
HPR1;YDR138W;haploid;larger;0% 1N DNA content
;YEL044W;haploid;larger;0% 1N DNA content
;YPR139C;haploid;larger;0% 1N DNA content
HTL1;YCR020W;haploid;larger;0% 1N DNA content
BFR1;YOR198C;haploid;larger;0% 1N DNA content
GPM2;YDL021W;haploid;larger;0% 1N DNA content
ARP8;YOR141C;haploid;larger;0% 1N DNA content
;YNL171C;haploid;larger;0% 1N DNA content
ADH1;YOL086C;haploid;larger;0% 1N DNA content
YKE2;YLR200W;haploid;larger;0% 1N DNA content
RPA190;YOR341W;diploid;smaller;Ribosome biogenesis
NOP1;YDL014W;diploid;smaller;Ribosome biogenesis
NOG1;YPL093W;diploid;smaller;Ribosome biogenesis
MAK21;YDR060W;diploid;smaller;Ribosome biogenesis
NOP2;YNL061W;diploid;smaller;Ribosome biogenesis
NOP5;YOR310C;diploid;smaller;Ribosome biogenesis
TIF6;YPR016C;diploid;smaller;Ribosome biogenesis
RLP24;YLR009W;diploid;smaller;Ribosome biogenesis
NOC2;YOR206W;diploid;smaller;Ribosome biogenesis
RVB2;YPL235W;diploid;smaller;Ribosome biogenesis
RPL18A;YOL120C;diploid;smaller;Ribosomal subunits
RPS15;YOL040C;diploid;smaller;Ribosomal subunits
RPL5;YPL131W;diploid;smaller;Ribosomal subunits
RPS13;YDR064W;diploid;smaller;Ribosomal subunits
RPL17A;YKL180W;diploid;smaller;Ribosomal subunits
RPL30;YGL030W;diploid;smaller;Ribosomal subunits
RPL15A;YLR029C;diploid;smaller;Ribosomal subunits
CDC24;YAL041W;diploid;smaller;Other function
MRS5;YBR091C;diploid;smaller;Other function
RPB5;YBR154C;diploid;smaller;Other function
MEX67;YPL169C;diploid;smaller;Other function
YBR190W;YBR190W;diploid;smaller;Unknown function
YDR531W;YDR531W;diploid;smaller;Unknown function
YGL047W;YGL047W;diploid;smaller;Unknown function
YPL142C;YPL142C;diploid;smaller;Unknown function
RPT2;YDL007W;diploid;larger;26S proteasome subunits
RPT4;YOR259C;diploid;larger;26S proteasome subunits
RPT5;YOR117W;diploid;larger;26S proteasome subunits
RPN7;YPR108W;diploid;larger;26S proteasome subunits
RPN12;YFR052W;diploid;larger;26S proteasome subunits
RPN11;YFR004W;diploid;larger;26S proteasome subunits
RPC10;YHR143W;diploid;larger;Ribosome biogenesis
NOP8;YOL144W;diploid;larger;Ribosome biogenesis
RRP43;YCR035C;diploid;larger;Ribosome biogenesis
SPC98;YNL126W;diploid;larger;gamma-tubulin
TUB4;YLR212C;diploid;larger;gamma-tubulin
PGI1;YBR196C;diploid;larger;Glycolysis
PDC2;YDR081C;diploid;larger;Glycolysis
RPB7;YDR404C;diploid;larger;RNA Pol II transcription
RSC6;YCR052W;diploid;larger;RNA Pol II transcription
GSP1;YLR293C;diploid;larger;Other function
MCD4;YKL165C;diploid;larger;Other function
PKC1;YBL105C;diploid;larger;Other function
CDC47;YBR202W;diploid;larger;Other function
BET1;YIL004C;diploid;larger;Other function
SRM1;YGL097W;diploid;larger;Other function
ACT1;YFL039C;diploid;larger;Other function
RSP5;YER125W;diploid;larger;Other function
YDR526C;YDR526C;diploid;larger;Unknown function
YGR115C;YGR115C;diploid;larger;Unknown function
YGR265W;YGR265W;diploid;larger;Unknown function
YJL086C;YJL086C;diploid;larger;Unknown function
YJL091C;YJL091C;diploid;larger;Unknown function
